file,line,family,rule,bucket
esphome/components/adc/adc_sensor_esp32.cpp,189,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,192,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,195,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,197,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,216,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,216,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,218,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,219,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,227,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,229,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,246,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,248,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,258,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,260,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,264,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,266,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,268,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,269,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,272,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,274,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,283,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,284,esp-idf,err-type,component-local
esphome/components/adc/adc_sensor_esp32.cpp,293,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,295,esp-idf,adc,component-local
esphome/components/adc/adc_sensor_esp32.cpp,307,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,355,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp32.cpp,360,esp-idf,log,component-local
esphome/components/adc/adc_sensor_esp8266.cpp,11,arduino,include,component-local
esphome/components/adc/adc_sensor_esp8266.cpp,46,arduino,api,component-local
esphome/components/adc/adc_sensor_libretiny.cpp,36,arduino,api,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,6,esp-idf,include,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,14,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,20,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,123,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,132,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,141,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,147,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,168,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,174,esp-idf,log,component-local
esphome/components/adc/adc_sensor_zephyr.cpp,197,esp-idf,log,component-local
esphome/components/adc128s102/__init__.py,18,esp-idf,i2c-spi,python
esphome/components/ade7880/ade7880.cpp,20,esp-idf,iram-attr,component-local
esphome/components/ade7880/ade7880.cpp,35,esp-idf,log,component-local
esphome/components/ade7880/ade7880.cpp,39,esp-idf,log,component-local
esphome/components/ade7880/ade7880.cpp,45,esp-idf,log,component-local
esphome/components/ade7880/ade7880.cpp,62,esp-idf,log,component-local
esphome/components/ade7880/ade7880.cpp,155,esp-idf,log,component-local
esphome/components/ade7880/ade7880.cpp,299,esp-idf,log,component-local
esphome/components/ade7880/ade7880.cpp,304,esp-idf,log,component-local
esphome/components/ade7953_spi/sensor.py,20,esp-idf,i2c-spi,python
esphome/components/ads1115/ads1115.cpp,70,esp-idf,log,component-local
esphome/components/ads1115/ads1115.cpp,159,esp-idf,log,component-local
esphome/components/ads1115/sensor/ads1115_sensor.cpp,16,esp-idf,log,component-local
esphome/components/ads1118/__init__.py,22,esp-idf,i2c-spi,python
esphome/components/ads1118/sensor/ads1118_sensor.cpp,24,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,28,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,33,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,38,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,43,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,64,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,67,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,70,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,73,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,76,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,95,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,99,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,115,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,119,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,121,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,123,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,144,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,150,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,179,esp-idf,log,component-local
esphome/components/ags10/ags10.cpp,188,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,41,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,55,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,64,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,70,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,76,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,95,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,104,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,111,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,113,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,122,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,134,esp-idf,log,component-local
esphome/components/aht10/aht10.cpp,156,esp-idf,log,component-local
esphome/components/aic3204/aic3204.cpp,13,esp-idf,log,component-local
esphome/components/aic3204/aic3204.cpp,113,esp-idf,log,component-local
esphome/components/aic3204/aic3204.cpp,146,esp-idf,log,component-local
esphome/components/aic3204/aic3204.cpp,163,esp-idf,log,component-local
esphome/components/airthings_ble/airthings_listener.cpp,21,esp-idf,log,component-local
esphome/components/airthings_wave_base/airthings_wave_base.cpp,18,esp-idf,log,component-local
esphome/components/airthings_wave_base/airthings_wave_base.cpp,27,esp-idf,log,component-local
esphome/components/airthings_wave_base/airthings_wave_base.cpp,51,esp-idf,log,component-local
esphome/components/airthings_wave_base/airthings_wave_base.cpp,84,esp-idf,log,component-local
esphome/components/airthings_wave_base/airthings_wave_base.cpp,88,esp-idf,log,component-local
